priority,market,target,type,why_it_fits,proposed_angle,official_contact_route,evidence_url,status,next_step
A,UK/Global,These Football Times,Independent publication,"Long-form football history and original features; explicitly accepts distinctive factual pitches","What career-path clues reveal about how fans remember footballers","Official contact page; concise pitch with relevant work samples",https://thesefootballtimes.co/contact/,draft_only_owner_approval_required,"Refresh report data and tailor a 200-word pitch"
A,Global,The Sweeper,Podcast and newsletter,"Covers unusual world-football stories and invites story submissions","Where football knowledge travels: a careful cross-country comparison","Official story/contact form or hello@sweeperpod.com",https://www.sweeperpod.com/contact,draft_only_owner_approval_required,"Wait for meaningful country samples; prepare three audio-ready findings"
A,Spain,Panenka,Independent magazine,"Spanish-language football culture publication with an official content-collaboration route","What Spanish fans recognise first: badges, careers or player clues","Official content and collaboration contact",https://www.panenka.org/contacto/,draft_only_owner_approval_required,"Use Spanish copy and pitch only after a meaningful Spain sample"
A,Spain,Revista Líbero,Independent magazine,"Independent Spanish football and culture magazine with a named editorial team","How football memory is shaped by crests and career journeys","Official publication contact listed on About page",https://revistalibero.com/pages/nosotros,draft_only_owner_approval_required,"Prepare a cultural feature angle; do not lead with the product"
A,Spain/Get Football Network,Get Spanish Football News,Digital publication,"Publishes Spanish-football coverage in English and provides an official team contact","A data note on which Spanish-player career paths international fans recognise","Official team contact",https://getfootballnewsspain.com/contact-us/,draft_only_owner_approval_required,"Prepare a concise English data pitch after Spain sample matures"
A,Mexico,Futbol Total,Football publication,"Established Mexican football publication with editorial features, polls and an official contact","Adivina el jugador: the Mexican-player clues fans find easiest and hardest","Official publication contact on About page",https://www.futboltotal.com.mx/acerca-de-nosotros/,draft_only_owner_approval_required,"Collect a Mexico-only sample and offer a custom unranked quiz"
A,UK/Liverpool,This Is Anfield,Independent club publication,"Large independent Liverpool supporter publication; explicitly accepts unique contributed features","Can Liverpool supporters identify ten careers from transfers alone?","Official article submission route",https://www.thisisanfield.com/submit/,draft_only_owner_approval_required,"Create an original Liverpool outline of at least 600 words"
A,UK/Everton,GrandOldTeam,Independent club community,"Independent fan-run Everton publication and forum; open to contributions","The Everton knowledge test: badges, careers and cult players","Official contact and contributor route",https://www.grandoldteam.com/about/contact/,draft_only_owner_approval_required,"Prepare a useful Everton reader challenge with no ranking-game promotion"
A,Georgia,Sportall,Georgian sports publication,"Major Georgian-language sports portal with an official site contact","What Georgian football fans know best: national-team careers and European clubs","Official About/contact details",https://sportall.ge/article/4920-chven-shesaxeb/,draft_only_owner_approval_required,"Prepare Georgian-language data brief after refreshing the local sample"
A,Georgia,LeaderSport,Georgian sports publication,"Georgian sports publisher with football coverage and a public contact form","A Georgian football-knowledge snapshot with transparent methodology","Official contact form",https://leadersport.ge/contact,draft_only_owner_approval_required,"Prepare Georgian copy and three verified local findings"
B,UK/Global,Planet Football,Football and quiz publication,"Publishes daily football quizzes, stats and rankings; strong topical fit but also a direct content competitor","Independent findings on which clue formats keep football fans playing","Official editorial contact",https://www.planetfootball.com/contact,draft_only_owner_approval_required,"Pitch only a genuinely new dataset; do not pitch a generic quiz link"
B,UK/Global,World Soccer,Football magazine,"Accepts structured story pitches and reaches an international football audience","How supporters across markets remember players through career paths","Official pitch guidance",https://www.worldsoccer.com/best-of-ws/write-for-world-soccer-419015,draft_only_owner_approval_required,"Build a publication-grade story with timing, access and author rationale"
B,UK/Global,FourFourTwo,Football magazine,"Large international football publication with extensive quiz coverage","A newsroom-ready chart on the hardest football-knowledge clue types","Official editorial queries contact",https://www.fourfourtwo.com/about-fourfourtwo,draft_only_owner_approval_required,"Wait for a substantially larger sample and a timely editorial hook"
B,UK/Global,MUNDIAL,Football culture magazine and newsletter,"Covers global fan culture and publishes a weekly newsletter","The visual language of football badges and what supporters remember","Official magazine contact",https://mundialmag.com/pages/about-us,draft_only_owner_approval_required,"Create a design-led badge finding with rights-cleared visuals"
B,UK/Global,The Blizzard,Quarterly football publication,"Welcomes original esoteric long-form pitches; not suitable for a product announcement","Why transfer routes became a language of modern football fandom","Official pitch rules",https://theblizzard.co.uk/faqs/,draft_only_owner_approval_required,"Read sample issues and prepare a timeless pitch under 250 words"
B,Global,SoccerBible,Football culture publisher,"Focuses on creative football culture and has recently covered badge identity","What makes a football crest memorable to supporters","Official team contact",https://www.soccerbible.com/information/about/,draft_only_owner_approval_required,"Develop a rights-cleared visual story; avoid generic data outreach"
B,Argentina,El Gráfico,Historic sports publication,"Historic Argentine publication with an official newsroom contact form","Argentine football memory through iconic players, clubs and career paths","Official contact form",https://www.elgrafico.com.ar/cliente/contacto,draft_only_owner_approval_required,"Wait for a meaningful Argentina sample and propose a locally relevant feature"
B,Georgia,CrystalSport,Georgian sports publication,"Active Georgian sports publisher with football coverage and a public contact route","A transparent Georgian football-knowledge benchmark","Official contact listed on policy page",https://www.crystalsport.ge/privacy,draft_only_owner_approval_required,"Verify the editorial recipient before proposing any story"
C,UK/Global,The Football Faithful,Football publication and newsletter,"Publishes football features and maintains an official partnership enquiry route; betting-heavy positioning lowers fit","A non-betting football knowledge feature tied to a current club topic","Official contact form",https://thefootballfaithful.com/contact-us/,draft_only_owner_approval_required,"Use only if the editorial topic is clearly separated from betting content"
